year,month,国内総生産(支出側),民間最終消費支出,家計最終消費支出,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出
2020,1- 3.,"141,780.70","74,875.40","72,687.20","5,788.40","28,838.30","-2,247.50","26,596.50"
2020,4- 6.,"130,175.30","68,912.50","66,172.10","5,480.40","21,167.70","1,426.20","29,730.30"
2020,7- 9.,"135,033.50","72,739.00","70,126.60","5,620.60","23,123.00",-504.4,"26,332.80"
2020,10-12.,"147,084.80","76,787.60","73,616.20","5,731.40","23,908.50",-73.8,"30,580.00"
2021,1- 3.,"142,048.70","73,759.50","71,349.30","5,682.70","28,088.30","-2,024.30","27,165.40"
2021,4- 6.,"140,970.70","74,206.40","71,579.30","5,633.80","22,911.40","1,470.80","31,242.30"
2021,7- 9.,"139,641.60","74,309.00","71,746.40","6,180.60","24,592.20",740.1,"27,771.30"
2021,10-12.,"150,907.80","79,673.40","76,605.90","6,433.80","25,209.00","1,267.50","31,589.00"
2022,1- 3.,"145,033.90","76,953.20","74,583.50","6,280.50","29,451.50","-1,168.10","28,462.40"
2022,4- 6.,"143,711.00","78,716.70","75,976.50","6,104.30","24,426.10","1,948.80","31,566.40"
2022,7- 9.,"141,719.40","79,635.60","76,973.10","6,630.20","26,629.30",993.4,"28,247.20"
2022,10-12.,"154,436.30","83,721.20","80,539.90","6,712.30","27,306.90","1,104.30","32,859.00"
2023,1- 3.,"151,784.60","81,791.60","79,316.60","6,520.80","31,889.40","-1,716.80","29,704.80"
2023,4- 6.,"151,771.60","81,280.60","78,436.10","6,441.90","25,627.80","1,760.80","32,284.00"
2023,7- 9.,"150,454.60","81,843.10","79,067.40","6,847.70","27,371.10",-398.9,"28,736.20"
2023,10-12.,"162,022.10","85,264.30","81,956.50","6,975.10","28,897.90",136.8,"33,064.60"
2024,1- 3.,"155,142.00","82,488.10","79,938.30","6,600.60","32,504.00","-2,184.20","29,363.30"
2024,4- 6.,"155,368.70","82,601.80","79,776.00","6,506.00","26,911.00","1,078.70","33,829.00"
2024,7- 9.,"155,702.10","84,020.00","81,295.30","6,993.50","28,671.70",445.8,"29,935.60"
2024,10-12.,"168,013.20","87,471.10","84,179.90","7,148.90","29,525.20",-34.6,"34,633.00"
2025,1- 3.,"163,330.80","86,270.90","83,752.80","6,914.90","34,078.70","-1,433.50","30,702.70"
2025,4- 6.,"163,645.30","86,329.40","83,342.50","6,781.50","28,153.20","1,900.90","34,510.80"
2025,7- 9.,"162,045.60","87,447.00","84,588.80","6,671.10","29,854.60",500.3,"30,570.00"
